#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  16
# Band-Index    1
   0.00000    -15.798334  0.283  0.013  0.000  0.039  0.000  0.000  0.000  0.000  0.000  0.336
   0.06664    -15.720254  0.282  0.017  0.000  0.037  0.000  0.000  0.000  0.000  0.000  0.336
   0.13328    -15.619116  0.280  0.021  0.000  0.035  0.000  0.000  0.000  0.000  0.000  0.337
   0.19993    -15.495057  0.279  0.026  0.000  0.033  0.000  0.000  0.000  0.000  0.000  0.337
   0.26657    -15.348271  0.277  0.030  0.000  0.031  0.000  0.000  0.000  0.000  0.000  0.338
   0.33321    -15.178987  0.274  0.036  0.000  0.030  0.000  0.000  0.000  0.000  0.000  0.339
   0.39985    -14.987508  0.272  0.041  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.340
   0.46649    -14.774217  0.269  0.047  0.000  0.026  0.000  0.000  0.000  0.000  0.000  0.342
   0.53314    -14.539526  0.266  0.053  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.343
   0.59978    -14.284121  0.263  0.059  0.000  0.023  0.000  0.000  0.000  0.000  0.000  0.345
   0.66642    -14.008863  0.260  0.066  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.347
   0.73306    -13.715210  0.257  0.071  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.349
   0.79970    -13.405761  0.255  0.077  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.351
   0.86634    -13.086155  0.255  0.080  0.000  0.019  0.000  0.000  0.000  0.000  0.000  0.354
   0.93299    -12.772345  0.259  0.079  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.358
   0.99963    -12.525765  0.273  0.068  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.364
   1.06627    -12.547417  0.277  0.066  0.000  0.021  0.000  0.000  0.000  0.000  0.000  0.364
   1.13291    -12.872816  0.264  0.078  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.358
   1.19955    -13.290742  0.259  0.081  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.353
   1.26620    -13.723679  0.260  0.078  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.349
   1.33284    -14.151249  0.263  0.073  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.346
   1.39948    -14.566039  0.267  0.068  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.343
   1.46612    -14.964464  0.271  0.062  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.341
   1.53276    -15.344448  0.276  0.055  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.338
   1.59941    -15.704689  0.281  0.049  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.336
   1.66605    -16.044175  0.286  0.043  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.334
   1.73269    -16.362203  0.290  0.038  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.333
   1.79933    -16.658207  0.295  0.032  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.331
   1.86597    -16.931770  0.299  0.027  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.329
   1.93261    -17.182497  0.303  0.023  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.328
   1.99926    -17.410063  0.306  0.018  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.327
   2.06590    -17.614273  0.309  0.015  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.326
   2.13254    -17.794873  0.312  0.011  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.325
   2.19918    -17.951694  0.315  0.008  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.324
   2.26582    -18.084610  0.317  0.006  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.323
   2.33247    -18.193521  0.319  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.323
   2.39911    -18.278319  0.320  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.322
   2.46575    -18.338942  0.321  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.322
   2.53239    -18.375329  0.321  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.322
   2.59903    -18.387459  0.322  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.322
   2.59903    -18.387459  0.322  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.322
   2.63672    -18.383585  0.322  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.322
   2.67441    -18.371937  0.321  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.322
   2.71210    -18.352548  0.321  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.322
   2.74979    -18.325396  0.321  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.322
   2.78748    -18.290512  0.320  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.322
   2.82517    -18.247876  0.319  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.322
   2.86286    -18.197518  0.319  0.001  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.323
   2.90054    -18.139453  0.318  0.001  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.323
   2.93823    -18.073689  0.317  0.002  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.323
   2.97592    -18.000250  0.315  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.324
   3.01361    -17.919149  0.314  0.002  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.324
   3.05130    -17.830414  0.313  0.003  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.325
