#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  16
# Band-Index    1
   0.00000    -19.513560  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.03769    -19.509686  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.07538    -19.498038  0.642  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.11307    -19.478649  0.642  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.644
   0.15076    -19.451497  0.642  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.644
   0.18844    -19.416612  0.640  0.002  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.644
   0.22613    -19.373977  0.638  0.002  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.644
   0.26382    -19.323618  0.638  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.646
   0.30151    -19.265554  0.636  0.002  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.646
   0.33920    -19.199790  0.634  0.004  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.646
   0.37689    -19.126350  0.630  0.004  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.648
   0.41458    -19.045250  0.628  0.004  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.648
   0.45227    -18.956515  0.626  0.006  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.650
   0.48996    -18.860151  0.622  0.006  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.650
   0.52764    -18.756206  0.620  0.008  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.652
   0.56533    -18.644711  0.616  0.010  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.652
   0.60302    -18.525710  0.612  0.010  0.000  0.032  0.000  0.000  0.000  0.000  0.000  0.654
   0.64071    -18.399228  0.608  0.012  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.656
   0.67840    -18.265289  0.604  0.014  0.000  0.040  0.000  0.000  0.000  0.000  0.000  0.656
