#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 120  16
# Band-Index    1
   0.00000    -19.513560     0.322
   0.03769    -19.509686     0.322
   0.07538    -19.498038     0.321
   0.11307    -19.478649     0.322
   0.15076    -19.451497     0.322
   0.18844    -19.416612     0.323
   0.22613    -19.373977     0.322
   0.26382    -19.323618     0.323
   0.30151    -19.265554     0.323
   0.33920    -19.199790     0.324
   0.37689    -19.126350     0.323
   0.41458    -19.045250     0.323
   0.45227    -18.956515     0.325
   0.48996    -18.860151     0.324
   0.52764    -18.756206     0.326
   0.56533    -18.644711     0.327
   0.60302    -18.525710     0.327
   0.64071    -18.399228     0.328
   0.67840    -18.265289     0.329
   0.71609    -18.123998     0.329
   0.75378    -17.975347     0.330
   0.79147    -17.819421     0.331
   0.82916    -17.656294     0.332
   0.86684    -17.486035     0.333
   0.90453    -17.308746     0.333
   0.94222    -17.124511     0.335
   0.97991    -16.933472     0.335
   1.01760    -16.735787     0.337
   1.05529    -16.531622     0.338
   1.09298    -16.321200     0.340
   1.13067    -16.104842     0.340
   1.16836    -15.882987     0.342
   1.20604    -15.656249     0.344
   1.24373    -15.425588     0.346
   1.28142    -15.192599     0.348
   1.31911    -14.960086     0.350
   1.35680    -14.733473     0.353
   1.39449    -14.524723     0.356
   1.43218    -14.361093     0.361
   1.46987    -14.294381     0.363
   1.46987    -14.294381     0.363
   1.49170    -14.293265     0.363
   1.51353    -14.289927     0.362
   1.53537    -14.284351     0.363
   1.55720    -14.276549     0.364
   1.57903    -14.266507     0.364
   1.60087    -14.254238     0.363
   1.62270    -14.239754     0.364
   1.64453    -14.223022     0.363
   1.66637    -14.204056     0.364
   1.68820    -14.182861     0.363
   1.71003    -14.159443     0.364
   1.73187    -14.133797     0.365
   1.75370    -14.105936     0.364
   1.77553    -14.075850     0.364
   1.79737    -14.043522     0.365
   1.81920    -14.008976     0.365
   1.84103    -13.972208     0.365
   1.86287    -13.933218     0.366
   1.88470    -13.892039     0.365
