      #Energy        TDOS
     -21.34598       0.00000
     -21.33198       0.00000
     -21.31898       0.00000
     -21.30598       0.00000
     -21.29198       0.00000
     -21.27898       0.00000
     -21.26498       0.00000
     -21.25198       0.00000
     -21.23798       0.00000
     -21.22498       0.00000
     -21.21098       0.00000
     -21.19798       0.00000
     -21.18498       0.00000
     -21.17098       0.00000
     -21.15798       0.00000
     -21.14398       0.00000
     -21.13098       0.00000
     -21.11698       0.00000
     -21.10398       0.00000
     -21.08998       0.00000
     -21.07698       0.00000
     -21.06398       0.00000
     -21.04998       0.00000
     -21.03698       0.00000
     -21.02298       0.00000
     -21.00998       0.00000
     -20.99598       0.00000
     -20.98298       0.00000
     -20.96998       0.00000
     -20.95598       0.00000
     -20.94298       0.00000
     -20.92898       0.00000
     -20.91598       0.00000
     -20.90198       0.00000
     -20.88898       0.00000
     -20.87498       0.00000
     -20.86198       0.00000
     -20.84898       0.00000
     -20.83498       0.00000
     -20.82198       0.00000
     -20.80798       0.00000
     -20.79498       0.00000
     -20.78098       0.00000
     -20.76798       0.00000
     -20.75398       0.00000
     -20.74098       0.00000
     -20.72798       0.00000
     -20.71398       0.00000
     -20.70098       0.00000
     -20.68698       0.00000
     -20.67398       0.00000
     -20.65998       0.00000
     -20.64698       0.00000
     -20.63298       0.00000
     -20.61998       0.00000
     -20.60698       0.00000
     -20.59298       0.00000
     -20.57998       0.00000
     -20.56598       0.00000
     -20.55298       0.00000
     -20.53898       0.00000
     -20.52598       0.00000
     -20.51198       0.00000
     -20.49898       0.00000
     -20.48598       0.00000
     -20.47198       0.00000
     -20.45898       0.00000
     -20.44498       0.00000
     -20.43198       0.00000
     -20.41798       0.00000
     -20.40498       0.00000
     -20.39198       0.00000
     -20.37798       0.00000
     -20.36498       0.00000
     -20.35098       0.00000
     -20.33798       0.00000
     -20.32398       0.00000
     -20.31098       0.00000
     -20.29698       0.00000
     -20.28398       0.00000
     -20.27098       0.00000
     -20.25698       0.00000
     -20.24398       0.00000
     -20.22998       0.00000
     -20.21698       0.00000
     -20.20298       0.00000
     -20.18998       0.00000
     -20.17598       0.00000
     -20.16298       0.00000
     -20.14998       0.00000
     -20.13598       0.00000
     -20.12298       0.00000
     -20.10898       0.00000
     -20.09598       0.00000
     -20.08198       0.00000
     -20.06898       0.00000
     -20.05498       0.00000
     -20.04198       0.00000
     -20.02898       0.00000
     -20.01498       0.00000
     -20.00198       0.00000
     -19.98798       0.00000
     -19.97498       0.00000
     -19.96098       0.00000
     -19.94798       0.00000
     -19.93398       0.00000
     -19.92098       0.00000
     -19.90798       0.00000
     -19.89398       0.00000
     -19.88098       0.00000
     -19.86698       0.00000
     -19.85398       0.00000
     -19.83998       0.00000
     -19.82698       0.00000
     -19.81298       0.00000
     -19.79998       0.00000
     -19.78698       0.00000
     -19.77298       0.00000
     -19.75998       0.00000
     -19.74598       0.00000
     -19.73298       0.00000
     -19.71898       0.00000
     -19.70598       0.00000
     -19.69298       0.00000
     -19.67898       0.00000
     -19.66598       0.00000
     -19.65198       0.00000
     -19.63898       0.00000
     -19.62498       0.00000
     -19.61198       0.00000
     -19.59798       0.00000
     -19.58498       0.00000
     -19.57198       0.00000
     -19.55798       0.00000
     -19.54498       0.00000
     -19.53098       0.00000
     -19.51798       0.00000
     -19.50398       0.00030
     -19.49098       0.00133
     -19.47698       0.00322
     -19.46398       0.00599
     -19.45098       0.00963
     -19.43698       0.01414
     -19.42398       0.01952
     -19.40998       0.02577
     -19.39698       0.03085
     -19.38298       0.03436
     -19.36998       0.03795
     -19.35598       0.04160
     -19.34298       0.04534
     -19.32998       0.04914
     -19.31598       0.05301
     -19.30298       0.05696
     -19.28898       0.06098
     -19.27598       0.06508
     -19.26198       0.06925
     -19.24898       0.07349
     -19.23498       0.07780
     -19.22198       0.08218
     -19.20898       0.08664
     -19.19498       0.09116
     -19.18198       0.09565
     -19.16798       0.10004
     -19.15498       0.10435
     -19.14098       0.10857
     -19.12798       0.11270
     -19.11498       0.11674
     -19.10098       0.12069
     -19.08798       0.12457
     -19.07398       0.12845
     -19.06098       0.13236
     -19.04698       0.13628
     -19.03398       0.14024
     -19.01998       0.14422
     -19.00698       0.14823
     -18.99398       0.15226
     -18.97998       0.15632
     -18.96698       0.16040
     -18.95298       0.16451
     -18.93998       0.16865
     -18.92598       0.17281
     -18.91298       0.17700
     -18.89898       0.18121
     -18.88598       0.18545
     -18.87298       0.18971
     -18.85898       0.19401
     -18.84598       0.19832
     -18.83198       0.20267
     -18.81898       0.20703
     -18.80498       0.21143
     -18.79198       0.21585
     -18.77798       0.22018
     -18.76498       0.22436
     -18.75198       0.22848
     -18.73798       0.23259
     -18.72498       0.23669
     -18.71098       0.24079
     -18.69798       0.24489
     -18.68398       0.24897
     -18.67098       0.25306
     -18.65698       0.25714
     -18.64398       0.26121
     -18.63098       0.26528
     -18.61698       0.26935
     -18.60398       0.27341
     -18.58998       0.27746
     -18.57698       0.28151
     -18.56298       0.28556
     -18.54998       0.28961
     -18.53698       0.29369
     -18.52298       0.29777
     -18.50998       0.30187
     -18.49598       0.30598
     -18.48298       0.31011
     -18.46898       0.31425
     -18.45598       0.31840
     -18.44198       0.32256
     -18.42898       0.32674
     -18.41598       0.33094
     -18.40198       0.33514
     -18.38898       0.33936
