     #Energy         C_s        C_px        C_py        C_pz
   -21.34598     0.00000     0.00000     0.00000     0.00000
   -21.33198     0.00000     0.00000     0.00000     0.00000
   -21.31898     0.00000     0.00000     0.00000     0.00000
   -21.30598     0.00000     0.00000     0.00000     0.00000
   -21.29198     0.00000     0.00000     0.00000     0.00000
   -21.27898     0.00000     0.00000     0.00000     0.00000
   -21.26498     0.00000     0.00000     0.00000     0.00000
   -21.25198     0.00000     0.00000     0.00000     0.00000
   -21.23798     0.00000     0.00000     0.00000     0.00000
   -21.22498     0.00000     0.00000     0.00000     0.00000
   -21.21098     0.00000     0.00000     0.00000     0.00000
   -21.19798     0.00000     0.00000     0.00000     0.00000
   -21.18498     0.00000     0.00000     0.00000     0.00000
   -21.17098     0.00000     0.00000     0.00000     0.00000
   -21.15798     0.00000     0.00000     0.00000     0.00000
   -21.14398     0.00000     0.00000     0.00000     0.00000
   -21.13098     0.00000     0.00000     0.00000     0.00000
   -21.11698     0.00000     0.00000     0.00000     0.00000
   -21.10398     0.00000     0.00000     0.00000     0.00000
   -21.08998     0.00000     0.00000     0.00000     0.00000
   -21.07698     0.00000     0.00000     0.00000     0.00000
   -21.06398     0.00000     0.00000     0.00000     0.00000
   -21.04998     0.00000     0.00000     0.00000     0.00000
   -21.03698     0.00000     0.00000     0.00000     0.00000
   -21.02298     0.00000     0.00000     0.00000     0.00000
   -21.00998     0.00000     0.00000     0.00000     0.00000
   -20.99598     0.00000     0.00000     0.00000     0.00000
   -20.98298     0.00000     0.00000     0.00000     0.00000
   -20.96998     0.00000     0.00000     0.00000     0.00000
   -20.95598     0.00000     0.00000     0.00000     0.00000
   -20.94298     0.00000     0.00000     0.00000     0.00000
   -20.92898     0.00000     0.00000     0.00000     0.00000
   -20.91598     0.00000     0.00000     0.00000     0.00000
   -20.90198     0.00000     0.00000     0.00000     0.00000
   -20.88898     0.00000     0.00000     0.00000     0.00000
   -20.87498     0.00000     0.00000     0.00000     0.00000
   -20.86198     0.00000     0.00000     0.00000     0.00000
   -20.84898     0.00000     0.00000     0.00000     0.00000
   -20.83498     0.00000     0.00000     0.00000     0.00000
   -20.82198     0.00000     0.00000     0.00000     0.00000
   -20.80798     0.00000     0.00000     0.00000     0.00000
   -20.79498     0.00000     0.00000     0.00000     0.00000
   -20.78098     0.00000     0.00000     0.00000     0.00000
   -20.76798     0.00000     0.00000     0.00000     0.00000
   -20.75398     0.00000     0.00000     0.00000     0.00000
   -20.74098     0.00000     0.00000     0.00000     0.00000
   -20.72798     0.00000     0.00000     0.00000     0.00000
   -20.71398     0.00000     0.00000     0.00000     0.00000
   -20.70098     0.00000     0.00000     0.00000     0.00000
   -20.68698     0.00000     0.00000     0.00000     0.00000
   -20.67398     0.00000     0.00000     0.00000     0.00000
   -20.65998     0.00000     0.00000     0.00000     0.00000
   -20.64698     0.00000     0.00000     0.00000     0.00000
   -20.63298     0.00000     0.00000     0.00000     0.00000
   -20.61998     0.00000     0.00000     0.00000     0.00000
   -20.60698     0.00000     0.00000     0.00000     0.00000
   -20.59298     0.00000     0.00000     0.00000     0.00000
   -20.57998     0.00000     0.00000     0.00000     0.00000
   -20.56598     0.00000     0.00000     0.00000     0.00000
   -20.55298     0.00000     0.00000     0.00000     0.00000
   -20.53898     0.00000     0.00000     0.00000     0.00000
   -20.52598     0.00000     0.00000     0.00000     0.00000
   -20.51198     0.00000     0.00000     0.00000     0.00000
   -20.49898     0.00000     0.00000     0.00000     0.00000
   -20.48598     0.00000     0.00000     0.00000     0.00000
   -20.47198     0.00000     0.00000     0.00000     0.00000
   -20.45898     0.00000     0.00000     0.00000     0.00000
   -20.44498     0.00000     0.00000     0.00000     0.00000
   -20.43198     0.00000     0.00000     0.00000     0.00000
   -20.41798     0.00000     0.00000     0.00000     0.00000
   -20.40498     0.00000     0.00000     0.00000     0.00000
   -20.39198     0.00000     0.00000     0.00000     0.00000
   -20.37798     0.00000     0.00000     0.00000     0.00000
   -20.36498     0.00000     0.00000     0.00000     0.00000
   -20.35098     0.00000     0.00000     0.00000     0.00000
   -20.33798     0.00000     0.00000     0.00000     0.00000
   -20.32398     0.00000     0.00000     0.00000     0.00000
   -20.31098     0.00000     0.00000     0.00000     0.00000
   -20.29698     0.00000     0.00000     0.00000     0.00000
   -20.28398     0.00000     0.00000     0.00000     0.00000
   -20.27098     0.00000     0.00000     0.00000     0.00000
   -20.25698     0.00000     0.00000     0.00000     0.00000
   -20.24398     0.00000     0.00000     0.00000     0.00000
   -20.22998     0.00000     0.00000     0.00000     0.00000
   -20.21698     0.00000     0.00000     0.00000     0.00000
   -20.20298     0.00000     0.00000     0.00000     0.00000
   -20.18998     0.00000     0.00000     0.00000     0.00000
   -20.17598     0.00000     0.00000     0.00000     0.00000
