      #Energy        TDOS
     -21.34598       0.00000
     -21.33198       0.00000
     -21.31898       0.00000
     -21.30598       0.00000
     -21.29198       0.00000
     -21.27898       0.00000
     -21.26498       0.00000
     -21.25198       0.00000
     -21.23798       0.00000
     -21.22498       0.00000
     -21.21098       0.00000
     -21.19798       0.00000
     -21.18498       0.00000
     -21.17098       0.00000
     -21.15798       0.00000
     -21.14398       0.00000
     -21.13098       0.00000
     -21.11698       0.00000
     -21.10398       0.00000
     -21.08998       0.00000
     -21.07698       0.00000
     -21.06398       0.00000
     -21.04998       0.00000
     -21.03698       0.00000
     -21.02298       0.00000
     -21.00998       0.00000
     -20.99598       0.00000
     -20.98298       0.00000
     -20.96998       0.00000
     -20.95598       0.00000
     -20.94298       0.00000
     -20.92898       0.00000
     -20.91598       0.00000
     -20.90198       0.00000
     -20.88898       0.00000
     -20.87498       0.00000
     -20.86198       0.00000
     -20.84898       0.00000
     -20.83498       0.00000
     -20.82198       0.00000
     -20.80798       0.00000
     -20.79498       0.00000
     -20.78098       0.00000
     -20.76798       0.00000
     -20.75398       0.00000
     -20.74098       0.00000
     -20.72798       0.00000
     -20.71398       0.00000
     -20.70098       0.00000
     -20.68698       0.00000
     -20.67398       0.00000
     -20.65998       0.00000
     -20.64698       0.00000
     -20.63298       0.00000
     -20.61998       0.00000
     -20.60698       0.00000
     -20.59298       0.00000
     -20.57998       0.00000
     -20.56598       0.00000
     -20.55298       0.00000
     -20.53898       0.00000
     -20.52598       0.00000
     -20.51198       0.00000
     -20.49898       0.00000
     -20.48598       0.00000
     -20.47198       0.00000
     -20.45898       0.00000
     -20.44498       0.00000
     -20.43198       0.00000
     -20.41798       0.00000
     -20.40498       0.00000
     -20.39198       0.00000
     -20.37798       0.00000
     -20.36498       0.00000
     -20.35098       0.00000
     -20.33798       0.00000
     -20.32398       0.00000
     -20.31098       0.00000
     -20.29698       0.00000
     -20.28398       0.00000
     -20.27098       0.00000
     -20.25698       0.00000
     -20.24398       0.00000
     -20.22998       0.00000
     -20.21698       0.00000
     -20.20298       0.00000
     -20.18998       0.00000
     -20.17598       0.00000
     -20.16298       0.00000
     -20.14998       0.00000
     -20.13598       0.00000
     -20.12298       0.00000
     -20.10898       0.00000
     -20.09598       0.00000
     -20.08198       0.00000
     -20.06898       0.00000
     -20.05498       0.00000
     -20.04198       0.00000
     -20.02898       0.00000
     -20.01498       0.00000
     -20.00198       0.00000
     -19.98798       0.00000
     -19.97498       0.00000
     -19.96098       0.00000
     -19.94798       0.00000
     -19.93398       0.00000
     -19.92098       0.00000
     -19.90798       0.00000
     -19.89398       0.00000
     -19.88098       0.00000
     -19.86698       0.00000
     -19.85398       0.00000
     -19.83998       0.00000
     -19.82698       0.00000
     -19.81298       0.00000
     -19.79998       0.00000
     -19.78698       0.00000
     -19.77298       0.00000
     -19.75998       0.00000
     -19.74598       0.00000
     -19.73298       0.00000
     -19.71898       0.00000
     -19.70598       0.00000
     -19.69298       0.00000
     -19.67898       0.00000
     -19.66598       0.00000
     -19.65198       0.00000
     -19.63898       0.00000
     -19.62498       0.00000
     -19.61198       0.00000
     -19.59798       0.00000
     -19.58498       0.00000
     -19.57198       0.00000
     -19.55798       0.00000
     -19.54498       0.00000
     -19.53098       0.00000
     -19.51798       0.00000
     -19.50398       0.04415
     -19.49098       0.10890
     -19.47698       0.17360
     -19.46398       0.23840
     -19.45098       0.30310
     -19.43698       0.36790
     -19.42398       0.43260
     -19.40998       0.49740
     -19.39698       0.25850
     -19.38298       0.26390
     -19.36998       0.26930
     -19.35598       0.27480
     -19.34298       0.28020
     -19.32998       0.28560
     -19.31598       0.29100
     -19.30298       0.29650
     -19.28898       0.30190
     -19.27598       0.30730
     -19.26198       0.31270
     -19.24898       0.31820
     -19.23498       0.32360
     -19.22198       0.32900
     -19.20898       0.33440
     -19.19498       0.33720
     -19.18198       0.33050
     -19.16798       0.32390
     -19.15498       0.31720
     -19.14098       0.31050
     -19.12798       0.30390
     -19.11498       0.29720
     -19.10098       0.29050
     -19.08798       0.28750
     -19.07398       0.28940
     -19.06098       0.29130
     -19.04698       0.29330
     -19.03398       0.29520
     -19.01998       0.29710
     -19.00698       0.29900
     -18.99398       0.30100
     -18.97998       0.30290
     -18.96698       0.30480
     -18.95298       0.30670
     -18.93998       0.30860
     -18.92598       0.31060
     -18.91298       0.31250
     -18.89898       0.31440
     -18.88598       0.31630
     -18.87298       0.31830
     -18.85898       0.32020
     -18.84598       0.32210
     -18.83198       0.32400
     -18.81898       0.32590
     -18.80498       0.32790
     -18.79198       0.32980
     -18.77798       0.31540
     -18.76498       0.30630
     -18.75198       0.30590
     -18.73798       0.30550
     -18.72498       0.30520
     -18.71098       0.30480
     -18.69798       0.30440
     -18.68398       0.30400
     -18.67098       0.30370
     -18.65698       0.30330
     -18.64398       0.30290
     -18.63098       0.30250
     -18.61698       0.30220
     -18.60398       0.30180
     -18.58998       0.30140
     -18.57698       0.30100
     -18.56298       0.30140
     -18.54998       0.30240
     -18.53698       0.30340
     -18.52298       0.30440
     -18.50998       0.30540
     -18.49598       0.30640
     -18.48298       0.30740
     -18.46898       0.30840
     -18.45598       0.30940
     -18.44198       0.31040
     -18.42898       0.31140
     -18.41598       0.31240
     -18.40198       0.31340
     -18.38898       0.31440
